transistor_id;curve_type;parameter;x;y
# SOA: parameter=pulse duration [s], x=VDS [V], y=ID [A]
ENGINEERING_FIXTURE;SOA;0.0001;1;80
ENGINEERING_FIXTURE;SOA;0.0001;10;40
ENGINEERING_FIXTURE;SOA;0.0001;60;4
ENGINEERING_FIXTURE;SOA;0.001;1;60
ENGINEERING_FIXTURE;SOA;0.001;10;20
ENGINEERING_FIXTURE;SOA;0.001;60;2
ENGINEERING_FIXTURE;SOA;0.01;1;30
ENGINEERING_FIXTURE;SOA;0.01;10;8
ENGINEERING_FIXTURE;SOA;0.01;60;0.8
# ZTH_JC: parameter=duty cycle, x=pulse duration [s], y=ZthJC [K/W]
ENGINEERING_FIXTURE;ZTH_JC;0.1;0.0001;0.08
ENGINEERING_FIXTURE;ZTH_JC;0.1;0.001;0.25
ENGINEERING_FIXTURE;ZTH_JC;0.1;0.01;0.55
ENGINEERING_FIXTURE;ZTH_JC;1.0;0.0001;0.12
ENGINEERING_FIXTURE;ZTH_JC;1.0;0.001;0.38
ENGINEERING_FIXTURE;ZTH_JC;1.0;0.01;0.9
# RDS_ON: parameter reserved, x=temperature [C], y=resistance [ohm]
ENGINEERING_FIXTURE;RDS_ON;0;25;0.008
ENGINEERING_FIXTURE;RDS_ON;0;100;0.012
ENGINEERING_FIXTURE;RDS_ON;0;175;0.017

# PSMN1R4-100ASEJ RDS_ON: maximum table values (datasheet table 7)
PSMN1R4-100ASEJ;RDS_ON;0;25;0.00136
PSMN1R4-100ASEJ;RDS_ON;0;100;0.0022
PSMN1R4-100ASEJ;RDS_ON;0;175;0.0031
# PSMN1R4-100ASEJ SOA: conservative digitization of figure 3, black 25 C curves
PSMN1R4-100ASEJ;SOA;0.00001;1;700
PSMN1R4-100ASEJ;SOA;0.00001;10;1000
PSMN1R4-100ASEJ;SOA;0.00001;30;360
PSMN1R4-100ASEJ;SOA;0.00001;100;95
PSMN1R4-100ASEJ;SOA;0.0001;1;700
PSMN1R4-100ASEJ;SOA;0.0001;10;300
PSMN1R4-100ASEJ;SOA;0.0001;30;130
PSMN1R4-100ASEJ;SOA;0.0001;100;45
PSMN1R4-100ASEJ;SOA;0.001;1;320
PSMN1R4-100ASEJ;SOA;0.001;10;140
PSMN1R4-100ASEJ;SOA;0.001;30;55
PSMN1R4-100ASEJ;SOA;0.001;100;18
PSMN1R4-100ASEJ;SOA;0.01;1;300
PSMN1R4-100ASEJ;SOA;0.01;10;80
PSMN1R4-100ASEJ;SOA;0.01;30;25
PSMN1R4-100ASEJ;SOA;0.01;100;7
PSMN1R4-100ASEJ;SOA;0.1;1;260
PSMN1R4-100ASEJ;SOA;0.1;10;45
PSMN1R4-100ASEJ;SOA;0.1;30;13
PSMN1R4-100ASEJ;SOA;0.1;100;3
PSMN1R4-100ASEJ;SOA;1000000000;1;250
PSMN1R4-100ASEJ;SOA;1000000000;10;30
PSMN1R4-100ASEJ;SOA;1000000000;30;8
PSMN1R4-100ASEJ;SOA;1000000000;100;1.5
# PSMN1R4-100ASEJ ZTH_JC: figure 5 digitization, absolute K/W
PSMN1R4-100ASEJ;ZTH_JC;0;0.000001;0.0025
PSMN1R4-100ASEJ;ZTH_JC;0;0.00001;0.007
PSMN1R4-100ASEJ;ZTH_JC;0;0.0001;0.022
PSMN1R4-100ASEJ;ZTH_JC;0;0.001;0.045
PSMN1R4-100ASEJ;ZTH_JC;0;0.01;0.09
PSMN1R4-100ASEJ;ZTH_JC;0;0.1;0.15
PSMN1R4-100ASEJ;ZTH_JC;0;1;0.16
PSMN1R4-100ASEJ;ZTH_JC;0.1;0.000001;0.018
PSMN1R4-100ASEJ;ZTH_JC;0.1;0.00001;0.024
PSMN1R4-100ASEJ;ZTH_JC;0.1;0.0001;0.035
PSMN1R4-100ASEJ;ZTH_JC;0.1;0.001;0.055
PSMN1R4-100ASEJ;ZTH_JC;0.1;0.01;0.095
PSMN1R4-100ASEJ;ZTH_JC;0.1;0.1;0.15
PSMN1R4-100ASEJ;ZTH_JC;0.1;1;0.16
PSMN1R4-100ASEJ;ZTH_JC;0.5;0.000001;0.075
PSMN1R4-100ASEJ;ZTH_JC;0.5;0.00001;0.077
PSMN1R4-100ASEJ;ZTH_JC;0.5;0.0001;0.08
PSMN1R4-100ASEJ;ZTH_JC;0.5;0.001;0.09
PSMN1R4-100ASEJ;ZTH_JC;0.5;0.01;0.105
PSMN1R4-100ASEJ;ZTH_JC;0.5;0.1;0.15
PSMN1R4-100ASEJ;ZTH_JC;0.5;1;0.16

# CSD19536KTT RDS_ON: maximum 25 C value scaled by figure 4-8 typical factors
CSD19536KTT;RDS_ON;0;25;0.0024
CSD19536KTT;RDS_ON;0;125;0.00396
CSD19536KTT;RDS_ON;0;175;0.00504
# CSD19536KTT SOA: conservative digitization of figure 4-10
CSD19536KTT;SOA;0.0001;1;400
CSD19536KTT;SOA;0.0001;10;400
CSD19536KTT;SOA;0.0001;30;400
CSD19536KTT;SOA;0.0001;100;60
CSD19536KTT;SOA;0.001;1;400
CSD19536KTT;SOA;0.001;10;280
CSD19536KTT;SOA;0.001;30;40
CSD19536KTT;SOA;0.001;100;5
CSD19536KTT;SOA;0.01;1;400
CSD19536KTT;SOA;0.01;10;100
CSD19536KTT;SOA;0.01;30;12
CSD19536KTT;SOA;0.01;100;1.4
CSD19536KTT;SOA;1000000000;1;200
CSD19536KTT;SOA;1000000000;10;40
CSD19536KTT;SOA;1000000000;30;5
CSD19536KTT;SOA;1000000000;100;0.8
