transistor_id;voltage;current;tamb
DEMO_BJT_01;11.679;0.124796;16.53
DEMO_MOSFET_01;39.417;0.082915;46.46
DEMO_MOSFET_02;15.454;0.290237;19.63
DEMO_BJT_01;16.558;0.072883;16.78
DEMO_MOSFET_01;37.79;0.04067;47.26
DEMO_MOSFET_02;28.721;0.057127;44.48
DEMO_BJT_01;19.448;0.150654;52.95
DEMO_MOSFET_01;36.302;0.020339;41.54
DEMO_MOSFET_02;22.94;0.142954;35.28
DEMO_BJT_01;7.372;0.384404;42.89
DEMO_MOSFET_01;30.681;0.108944;41.6
DEMO_MOSFET_02;27.334;0.297912;21.96
DEMO_BJT_01;7.885;0.097008;48.35
DEMO_MOSFET_01;14.923;0.095751;46.43
DEMO_MOSFET_02;33.115;0.238039;32.67
DEMO_BJT_01;22.607;0.06912;46.75
DEMO_MOSFET_01;27.563;0.116749;41.35
DEMO_MOSFET_02;57.36;0.023968;39.77
DEMO_BJT_01;24.584;0.038835;24.39
DEMO_MOSFET_01;39.406;0.075621;20.89
DEMO_MOSFET_02;30.048;0.258383;39.45
DEMO_BJT_01;22.114;0.120075;50.45
DEMO_MOSFET_01;8.46;0.33515;30.36
DEMO_MOSFET_02;52.324;0.151451;42.5
DEMO_BJT_01;8.128;0.159644;50.42
DEMO_MOSFET_01;20.188;0.177636;47.16
DEMO_MOSFET_02;11.675;0.464358;37.3
DEMO_BJT_01;16.872;0.146412;20.33
DEMO_MOSFET_01;30.944;0.085746;37.36
DEMO_MOSFET_02;54.061;0.070826;32.7
DEMO_BJT_01;14.486;0.118207;32.07
DEMO_MOSFET_01;19.653;0.11449;21.37
DEMO_MOSFET_02;20.252;0.176331;45.07
DEMO_BJT_01;8.699;0.11491;46.11
DEMO_MOSFET_01;11.676;0.243821;32.59
DEMO_MOSFET_02;9.432;0.44627;28.43
DEMO_BJT_01;6.279;0.507502;21.03
DEMO_MOSFET_01;15.243;0.091377;23.56
DEMO_MOSFET_02;50.809;0.102872;33.64
DEMO_BJT_01;28.49;0.054197;30.58
DEMO_MOSFET_01;24.301;0.205623;15.78
DEMO_MOSFET_02;21.424;0.196489;34.08
DEMO_BJT_01;25.4;0.067423;30.6
DEMO_MOSFET_01;32.595;0.054489;36.53
DEMO_MOSFET_02;20.011;0.319714;50.91
DEMO_BJT_01;20.728;0.047453;34.43
DEMO_MOSFET_01;34.099;0.046856;46.93
DEMO_MOSFET_02;34.377;0.22082;51.78
DEMO_BJT_01;20.564;0.052165;51.28
DEMO_MOSFET_01;35.074;0.042093;18.36
DEMO_MOSFET_02;23.004;0.093185;22.27
DEMO_BJT_01;26.63;0.034719;33.19
DEMO_MOSFET_01;18.598;0.253947;26.13
DEMO_MOSFET_02;46.196;0.140301;48.4
DEMO_BJT_01;8.278;0.241521;17.08
DEMO_MOSFET_01;4.49;0.556195;17.74
DEMO_MOSFET_02;51.158;0.116351;16.24
DEMO_BJT_01;15.26;0.048846;39.85
DEMO_MOSFET_01;20.206;0.120976;19.58
DEMO_MOSFET_02;38.324;0.191956;25.25
DEMO_BJT_01;23.778;0.050026;53.55
DEMO_MOSFET_01;24.411;0.157676;21.55
DEMO_MOSFET_02;54.941;0.047756;52.16
DEMO_BJT_01;7.553;0.23703;30.01
DEMO_MOSFET_01;11.985;0.158292;38.68
DEMO_MOSFET_02;42.634;0.046471;42.89
DEMO_BJT_01;17.846;0.166564;47.22
DEMO_MOSFET_01;27.476;0.06176;16.64
DEMO_MOSFET_02;5.696;1.513097;17.76
DEMO_BJT_01;14.139;0.215686;31.8
DEMO_MOSFET_01;20.01;0.107971;29.49
DEMO_MOSFET_02;33.696;0.206384;21.12
DEMO_BJT_01;27.749;0.07565;41.02
DEMO_MOSFET_01;33.552;0.098977;45.99
