idx,transistor_id,type,voltage,current,p_loss,pmax,power_margin_w,power_margin_pct,tamb,rthja,tj,tjmax,temperature_margin_c,status,reason,priority,criticality_score,recommended_action,thermal_power_limit_w,allowed_power_w,limiting_factor,max_current_available,max_current_a,current_reduction_pct,max_voltage_available,max_voltage_v,voltage_reduction_pct
1,DEMO_BJT_01,BJT,11.679000,0.124796,1.457492,10.000000,8.542508,85.425075,16.530000,50.000000,89.404624,150.000000,60.595376,SAFE,NONE,4,0.596031,No immediate action,2.669400,2.669400,TEMPERATURE,1,0.228564,0.000000,1,21.390109,0.000000
2,DEMO_MOSFET_01,MOSFET,39.417000,0.082915,3.268261,10.000000,6.731739,67.317394,46.460000,40.000000,177.190422,150.000000,-27.190422,NOT_SAFE_TEMPERATURE,TEMPERATURE,2,1.181269,Correct thermal operating condition,2.588500,2.588500,TEMPERATURE,1,0.065670,20.798848,1,31.218718,20.798848
3,DEMO_MOSFET_02,MOSFET,15.454000,0.290237,4.485323,20.000000,15.514677,77.573387,19.630000,25.000000,131.763065,175.000000,43.236935,SAFE,NONE,4,0.752932,No immediate action,6.214800,6.214800,TEMPERATURE,1,0.402148,0.000000,1,21.412845,0.000000
4,DEMO_BJT_01,BJT,16.558000,0.072883,1.206797,10.000000,8.793203,87.932033,16.780000,50.000000,77.119836,150.000000,72.880164,SAFE,NONE,4,0.514132,No immediate action,2.664400,2.664400,TEMPERATURE,1,0.160913,0.000000,1,36.557222,0.000000
5,DEMO_MOSFET_01,MOSFET,37.790000,0.040670,1.536919,10.000000,8.463081,84.630807,47.260000,40.000000,108.736772,150.000000,41.263228,SAFE,NONE,4,0.724912,No immediate action,2.568500,2.568500,TEMPERATURE,1,0.067968,0.000000,1,63.154659,0.000000
6,DEMO_MOSFET_02,MOSFET,28.721000,0.057127,1.640745,20.000000,18.359255,91.796277,44.480000,25.000000,85.498614,175.000000,89.501386,SAFE,NONE,4,0.488564,No immediate action,5.220800,5.220800,TEMPERATURE,1,0.181776,0.000000,1,91.389361,0.000000
7,DEMO_BJT_01,BJT,19.448000,0.150654,2.929919,10.000000,7.070081,70.700810,52.950000,50.000000,199.445950,150.000000,-49.445950,NOT_SAFE_TEMPERATURE,TEMPERATURE,2,1.329640,Correct thermal operating condition,1.941000,1.941000,TEMPERATURE,1,0.099805,33.752435,1,12.883827,33.752435
8,DEMO_MOSFET_01,MOSFET,36.302000,0.020339,0.738346,10.000000,9.261654,92.616536,41.540000,40.000000,71.073855,150.000000,78.926145,SAFE,NONE,4,0.473826,No immediate action,2.711500,2.711500,TEMPERATURE,1,0.074693,0.000000,1,133.315306,0.000000
9,DEMO_MOSFET_02,MOSFET,22.940000,0.142954,3.279365,20.000000,16.720635,83.603176,35.280000,25.000000,117.264119,175.000000,57.735881,SAFE,NONE,4,0.670081,No immediate action,5.588800,5.588800,TEMPERATURE,1,0.243627,0.000000,1,39.095094,0.000000
10,DEMO_BJT_01,BJT,7.372000,0.384404,2.833826,10.000000,7.166174,71.661737,42.890000,50.000000,184.581314,150.000000,-34.581314,NOT_SAFE_TEMPERATURE,TEMPERATURE,2,1.230542,Correct thermal operating condition,2.142200,2.142200,TEMPERATURE,1,0.290586,24.406093,1,5.572783,24.406093
11,DEMO_MOSFET_01,MOSFET,30.681000,0.108944,3.342511,10.000000,6.657489,66.574891,41.600000,40.000000,175.300435,150.000000,-25.300435,NOT_SAFE_TEMPERATURE,TEMPERATURE,2,1.168670,Correct thermal operating condition,2.710000,2.710000,TEMPERATURE,1,0.088328,18.923225,1,24.875165,18.923225
12,DEMO_MOSFET_02,MOSFET,27.334000,0.297912,8.143127,20.000000,11.856873,59.284367,21.960000,25.000000,225.538165,175.000000,-50.538165,NOT_SAFE_TEMPERATURE,TEMPERATURE,2,1.288790,Correct thermal operating condition,6.121600,6.121600,TEMPERATURE,1,0.223956,24.824944,1,20.548350,24.824944
13,DEMO_BJT_01,BJT,7.885000,0.097008,0.764908,10.000000,9.235092,92.350919,48.350000,50.000000,86.595404,150.000000,63.404596,SAFE,NONE,4,0.577303,No immediate action,2.033000,2.033000,TEMPERATURE,1,0.257831,0.000000,1,20.957034,0.000000
14,DEMO_MOSFET_01,MOSFET,14.923000,0.095751,1.428892,10.000000,8.571108,85.711078,46.430000,40.000000,103.585687,150.000000,46.414313,SAFE,NONE,4,0.690571,No immediate action,2.589250,2.589250,TEMPERATURE,1,0.173507,0.000000,1,27.041493,0.000000
