scope,transistor_id,kpi,numeric_value,text_value
overall,ALL,total_points,500.000000,
overall,ALL,skipped_points,0.000000,
overall,ALL,processing_time_ms,386.000000,
overall,ALL,safe_count,231.000000,
overall,ALL,safe_percent,46.200000,
overall,ALL,critical_count,69.000000,
overall,ALL,critical_percent,13.800000,
overall,ALL,not_safe_count,200.000000,
overall,ALL,not_safe_percent,40.000000,
overall,ALL,average_tj_c,143.443250,
overall,ALL,max_tj_c,256.924223,
overall,ALL,average_power_margin_w,10.148049,
overall,ALL,average_temperature_margin_c,14.856750,
overall,ALL,most_critical_index,399.000000,
overall,ALL,criticality_score,1.468138,
overall,ALL,most_critical_transistor_id,,DEMO_MOSFET_02
overall,ALL,most_critical_status,,NOT_SAFE_TEMPERATURE
overall,ALL,most_frequent_failure_reason,,TEMPERATURE
model,DEMO_BJT_01,total_points,167.000000,
model,DEMO_BJT_01,safe_count,80.000000,
model,DEMO_BJT_01,critical_count,29.000000,
model,DEMO_BJT_01,not_safe_count,58.000000,
model,DEMO_BJT_01,safe_percent,47.904192,
model,DEMO_BJT_01,average_tj_c,132.687589,
model,DEMO_BJT_01,max_tj_c,219.010082,
model,DEMO_MOSFET_01,total_points,167.000000,
model,DEMO_MOSFET_01,safe_count,67.000000,
model,DEMO_MOSFET_01,critical_count,26.000000,
model,DEMO_MOSFET_01,not_safe_count,74.000000,
model,DEMO_MOSFET_01,safe_percent,40.119760,
model,DEMO_MOSFET_01,average_tj_c,139.921789,
model,DEMO_MOSFET_01,max_tj_c,217.142448,
model,DEMO_MOSFET_02,total_points,166.000000,
model,DEMO_MOSFET_02,safe_count,84.000000,
model,DEMO_MOSFET_02,critical_count,14.000000,
model,DEMO_MOSFET_02,not_safe_count,68.000000,
model,DEMO_MOSFET_02,safe_percent,50.602410,
model,DEMO_MOSFET_02,average_tj_c,157.806378,
model,DEMO_MOSFET_02,max_tj_c,256.924223,
